Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R²,Test R²,CV MAE Mean,CV MAE Std
Linear Regression,68.32402499827401,62.53385942216861,97.68146619972002,85.49546743898128,0.33269928716862185,0.18493971122459252,73.05567155195001,2.242959091716584
Random Forest,35.91769268678278,56.289903741293735,52.36900072358255,71.69590285609283,0.808201227536811,0.4268184163594856,64.3095396692585,3.5700066381727393
XGBoost,5.0698951989667025,56.29192619000451,6.810724197029263,71.82990358320654,0.9967559776571775,0.4246738440087269,72.3224353785431,4.1747922226103045
kNN,0.0,67.72373964575812,0.0,96.73008007859691,1.0,-0.04334189438016556,67.90672530506926,4.853338768536998
